Time, Real_Position, Real_Velocity, Learned_Position, Learned_Velocity
1.071071028709411621e+00,2.214193940162658691e-01,-1.055877447128295898e+00,-3.908783197402954102e-02,-9.427409768104553223e-01
1.081081032752990723e+00,2.108500599861145020e-01,-1.053968667984008789e+00,-5.092690512537956238e-02,-9.341301321983337402e-01
1.091091036796569824e+00,2.002998292446136475e-01,-1.051859736442565918e+00,-6.266143918037414551e-02,-9.252841472625732422e-01
1.101101040840148926e+00,1.897707134485244751e-01,-1.049552321434020996e+00,-7.428850233554840088e-02,-9.162074327468872070e-01
1.111111044883728027e+00,1.792646944522857666e-01,-1.047047972679138184e+00,-8.580521494150161743e-02,-9.069045782089233398e-01
1.121121048927307129e+00,1.687837392091751099e-01,-1.044348239898681641e+00,-9.720876812934875488e-02,-8.973801136016845703e-01
1.131131052970886230e+00,1.583298146724700928e-01,-1.041454911231994629e+00,-1.084963902831077576e-01,-8.876386880874633789e-01
1.141141057014465332e+00,1.479048430919647217e-01,-1.038369655609130859e+00,-1.196653768420219421e-01,-8.776848912239074707e-01
1.151151061058044434e+00,1.375107616186141968e-01,-1.035094261169433594e+00,-1.307130753993988037e-01,-8.675233721733093262e-01
1.161161065101623535e+00,1.271494626998901367e-01,-1.031630396842956543e+00,-1.416369080543518066e-01,-8.571588397026062012e-01
1.171171069145202637e+00,1.168228387832641602e-01,-1.027979969978332520e+00,-1.524343341588973999e-01,-8.465960621833801270e-01
1.181181073188781738e+00,1.065327525138854980e-01,-1.024144768714904785e+00,-1.631028950214385986e-01,-8.358397483825683594e-01
1.191191077232360840e+00,9.628105908632278442e-02,-1.020126581192016602e+00,-1.736401617527008057e-01,-8.248946666717529297e-01
1.201201200485229492e+00,8.606946468353271484e-02,-1.015927195549011230e+00,-1.840439140796661377e-01,-8.137654662132263184e-01
1.211211204528808594e+00,7.590003311634063721e-02,-1.011548638343811035e+00,-1.943115890026092529e-01,-8.024572730064392090e-01
1.221221208572387695e+00,6.577442586421966553e-02,-1.006992816925048828e+00,-2.044411003589630127e-01,-7.909747362136840820e-01
1.231231212615966797e+00,5.569442361593246460e-02,-1.002261638641357422e+00,-2.144302576780319214e-01,-7.793227434158325195e-01
1.241241216659545898e+00,4.566178098320960999e-02,-9.973570704460144043e-01,-2.242769300937652588e-01,-7.675061821937561035e-01
1.251251220703125000e+00,3.567823395133018494e-02,-9.922810792922973633e-01,-2.339790761470794678e-01,-7.555299401283264160e-01
1.261261224746704102e+00,2.574549615383148193e-02,-9.870356917381286621e-01,-2.435346990823745728e-01,-7.433989048004150391e-01
1.271271228790283203e+00,1.586526446044445038e-02,-9.816229939460754395e-01,-2.529418468475341797e-01,-7.311179637908935547e-01
1.281281232833862305e+00,6.039214320480823517e-03,-9.760450124740600586e-01,-2.621986567974090576e-01,-7.186920642852783203e-01
1.291291236877441406e+00,-3.731000237166881561e-03,-9.703037738800048828e-01,-2.713032960891723633e-01,-7.061261534690856934e-01
1.301301240921020508e+00,-1.344374474138021469e-02,-9.644014239311218262e-01,-2.802540063858032227e-01,-6.934251785278320312e-01
1.311311244964599609e+00,-2.309740707278251648e-02,-9.583401083946228027e-01,-2.890491187572479248e-01,-6.805940866470336914e-01
1.321321249008178711e+00,-3.269039466977119446e-02,-9.521219134330749512e-01,-2.976869642734527588e-01,-6.676378250122070312e-01
1.331331253051757812e+00,-4.222114011645317078e-02,-9.457489848136901855e-01,-3.061659634113311768e-01,-6.545613408088684082e-01
1.341341257095336914e+00,-5.168808996677398682e-02,-9.392235279083251953e-01,-3.144845962524414062e-01,-6.413696408271789551e-01
1.351351261138916016e+00,-6.108972057700157166e-02,-9.325477480888366699e-01,-3.226414024829864502e-01,-6.280676722526550293e-01
1.361361265182495117e+00,-7.042452692985534668e-02,-9.257238507270812988e-01,-3.306349813938140869e-01,-6.146603822708129883e-01
1.371371269226074219e+00,-7.969102263450622559e-02,-9.187540411949157715e-01,-3.384640216827392578e-01,-6.011527180671691895e-01
1.381381273269653320e+00,-8.888775110244750977e-02,-9.116405844688415527e-01,-3.461272120475769043e-01,-5.875496268272399902e-01
1.391391277313232422e+00,-9.801327437162399292e-02,-9.043857455253601074e-01,-3.536233305931091309e-01,-5.738561153411865234e-01
1.401401281356811523e+00,-1.070661768317222595e-01,-8.969917893409729004e-01,-3.609512150287628174e-01,-5.600770711898803711e-01
1.411411285400390625e+00,-1.160450652241706848e-01,-8.894609808921813965e-01,-3.681097924709320068e-01,-5.462175011634826660e-01
1.421421289443969727e+00,-1.249485760927200317e-01,-8.817956447601318359e-01,-3.750979900360107422e-01,-5.322822928428649902e-01
1.431431293487548828e+00,-1.337753534317016602e-01,-8.739981055259704590e-01,-3.819148242473602295e-01,-5.182763338088989258e-01
1.441441416740417480e+00,-1.425241827964782715e-01,-8.660705685615539551e-01,-3.885594904422760010e-01,-5.042043924331665039e-01
1.451451420783996582e+00,-1.511935591697692871e-01,-8.580155968666076660e-01,-3.950309157371520996e-01,-4.900717139244079590e-01
1.461461424827575684e+00,-1.597823053598403931e-01,-8.498354554176330566e-01,-4.013283848762512207e-01,-4.758830070495605469e-01
1.471471428871154785e+00,-1.682891547679901123e-01,-8.415324687957763672e-01,-4.074511826038360596e-01,-4.616431593894958496e-01
1.481481432914733887e+00,-1.767129004001617432e-01,-8.331090807914733887e-01,-4.133985936641693115e-01,-4.473569989204406738e-01
1.491491436958312988e+00,-1.850523203611373901e-01,-8.245676159858703613e-01,-4.191699922084808350e-01,-4.330293238162994385e-01
1.501501441001892090e+00,-1.933062523603439331e-01,-8.159105181694030762e-01,-4.247647821903228760e-01,-4.186649918556213379e-01
1.511511445045471191e+00,-2.014735192060470581e-01,-8.071401715278625488e-01,-4.301824867725372314e-01,-4.042687714099884033e-01
1.521521449089050293e+00,-2.095530033111572266e-01,-7.982589602470397949e-01,-4.354226291179656982e-01,-3.898454308509826660e-01
1.531531453132629395e+00,-2.175435721874237061e-01,-7.892693877220153809e-01,-4.404848217964172363e-01,-3.753997385501861572e-01
1.541541457176208496e+00,-2.254441678524017334e-01,-7.801738381385803223e-01,-4.453687071800231934e-01,-3.609364032745361328e-01
1.551551461219787598e+00,-2.332537174224853516e-01,-7.709746956825256348e-01,-4.500740170478820801e-01,-3.464601039886474609e-01
1.561561465263366699e+00,-2.409711778163909912e-01,-7.616744637489318848e-01,-4.546005129814147949e-01,-3.319755196571350098e-01
